,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacaembu,-21.5622,-51.2606,28.62,52,96,2.97,BR,1637429146
1,mar del plata,-38.0023,-57.5575,29.01,55,0,4.02,AR,1637428987
2,busselton,-33.65,115.3333,15.1,66,44,5.24,AU,1637429146
3,hermanus,-34.4187,19.2345,21.61,71,52,8.86,ZA,1637429147
4,punta arenas,-53.15,-70.9167,8.06,53,40,18.01,CL,1637429147
5,tiznit,29.5833,-9.5,18.58,53,20,3.19,MA,1637429148
6,egvekinot,66.3167,-179.1667,-17.64,62,62,3.96,RU,1637429148
7,bardiyah,31.7561,25.0865,17.47,63,70,9.14,LY,1637429148
8,skjervoy,70.0311,20.9714,2.22,53,100,11.3,NO,1637429149
9,bethel,41.3712,-73.414,8.1,49,1,0.89,US,1637429149
10,cape town,-33.9258,18.4232,22.37,53,20,8.75,ZA,1637429150
11,guerrero negro,27.9769,-114.0611,19.38,71,100,3.45,MX,1637429150
12,vila,42.0304,-8.1588,11.3,72,64,0.89,PT,1637429151
13,provideniya,64.3833,-173.3,-12.78,58,12,1.92,RU,1637429151
14,aykhal,66.0,111.5,-29.98,100,93,2.18,RU,1637429152
15,vaini,-21.2,-175.2,22.09,100,75,1.03,TO,1637429152
16,penzance,50.1186,-5.5371,10.56,75,100,4.08,GB,1637429153
17,kaduna,10.5222,7.4383,29.22,18,4,3.17,NG,1637429153
18,saskylakh,71.9167,114.0833,-30.66,99,91,2.57,RU,1637429154
19,kahului,20.8947,-156.47,25.47,81,20,3.6,US,1637429154
20,ushuaia,-54.8,-68.3,3.81,65,75,9.77,AR,1637428886
21,east london,-33.0153,27.9116,17.52,88,75,3.6,ZA,1637428881
22,lac du bonnet,50.2536,-96.0612,-5.23,87,29,3.66,CA,1637429155
23,plainview,40.7765,-73.4673,8.82,44,1,0.45,US,1637429156
24,cap-aux-meules,47.3821,-61.8597,3.03,65,75,11.32,CA,1637429156
